season,date,home_team,away_team,home_goals,away_goals,result,source_file,home_team_official,away_team_official,expected_result,result_is_valid
2012-13,2012-11-25,Espanol,Getafe,0,2,A,2012-13_SP1.csv,RCD Espanyol,Getafe CF,A,True
2012-13,2012-11-25,Levante,Barcelona,0,4,A,2012-13_SP1.csv,Levante UD,FC Barcelona,A,True
2012-13,2012-11-26,Zaragoza,Celta,0,1,A,2012-13_SP1.csv,Real Zaragoza,RC Celta de Vigo,A,True
2012-13,2012-11-30,Osasuna,Vallecano,1,0,H,2012-13_SP1.csv,CA Osasuna,Rayo Vallecano,H,True
2012-13,2012-12-01,Barcelona,Ath Bilbao,5,1,H,2012-13_SP1.csv,FC Barcelona,Athletic Bilbao,H,True
2012-13,2012-12-01,Getafe,Malaga,1,0,H,2012-13_SP1.csv,Getafe CF,Málaga CF,H,True
2012-13,2012-12-01,Real Madrid,Ath Madrid,2,0,H,2012-13_SP1.csv,Real Madrid CF,Club Atlético de Madrid,H,True
2012-13,2012-12-01,Valencia,Sociedad,2,5,A,2012-13_SP1.csv,Valencia CF,Real Sociedad,A,True
2012-13,2012-12-02,Celta,Levante,1,1,D,2012-13_SP1.csv,RC Celta de Vigo,Levante UD,D,True
2012-13,2012-12-02,Granada,Espanol,0,0,D,2012-13_SP1.csv,Granada CF,RCD Espanyol,D,True
2012-13,2012-12-02,La Coruna,Betis,2,3,A,2012-13_SP1.csv,Deportivo La Coruña,Real Betis Balompié,A,True
2012-13,2012-12-02,Mallorca,Zaragoza,1,1,D,2012-13_SP1.csv,RCD Mallorca,Real Zaragoza,D,True
2012-13,2012-12-03,Sevilla,Valladolid,1,2,A,2012-13_SP1.csv,Sevilla FC,Real Valladolid CF,A,True
2012-13,2012-12-07,Espanol,Sevilla,2,2,D,2012-13_SP1.csv,RCD Espanyol,Sevilla FC,D,True
2012-13,2012-12-08,Malaga,Granada,4,0,H,2012-13_SP1.csv,Málaga CF,Granada CF,H,True
2012-13,2012-12-08,Osasuna,Valencia,0,1,A,2012-13_SP1.csv,CA Osasuna,Valencia CF,A,True
2012-13,2012-12-08,Sociedad,Getafe,1,1,D,2012-13_SP1.csv,Real Sociedad,Getafe CF,D,True
2012-13,2012-12-08,Valladolid,Real Madrid,2,3,A,2012-13_SP1.csv,Real Valladolid CF,Real Madrid CF,A,True
2012-13,2012-12-09,Ath Bilbao,Celta,1,0,H,2012-13_SP1.csv,Athletic Bilbao,RC Celta de Vigo,H,True
2012-13,2012-12-09,Ath Madrid,La Coruna,6,0,H,2012-13_SP1.csv,Club Atlético de Madrid,Deportivo La Coruña,H,True
2012-13,2012-12-09,Betis,Barcelona,1,2,A,2012-13_SP1.csv,Real Betis Balompié,FC Barcelona,A,True
2012-13,2012-12-09,Levante,Mallorca,4,0,H,2012-13_SP1.csv,Levante UD,RCD Mallorca,H,True
2012-13,2012-12-10,Vallecano,Zaragoza,0,2,A,2012-13_SP1.csv,Rayo Vallecano,Real Zaragoza,A,True
2012-13,2012-12-15,Getafe,Osasuna,1,1,D,2012-13_SP1.csv,Getafe CF,CA Osasuna,D,True
2012-13,2012-12-15,Granada,Sociedad,0,0,D,2012-13_SP1.csv,Granada CF,Real Sociedad,D,True
2012-13,2012-12-15,Mallorca,Ath Bilbao,0,1,A,2012-13_SP1.csv,RCD Mallorca,Athletic Bilbao,A,True
2012-13,2012-12-15,Sevilla,Malaga,0,2,A,2012-13_SP1.csv,Sevilla FC,Málaga CF,A,True
2012-13,2012-12-16,Barcelona,Ath Madrid,4,1,H,2012-13_SP1.csv,FC Barcelona,Club Atlético de Madrid,H,True
2012-13,2012-12-16,Real Madrid,Espanol,2,2,D,2012-13_SP1.csv,Real Madrid CF,RCD Espanyol,D,True
2012-13,2012-12-16,Valencia,Vallecano,0,1,A,2012-13_SP1.csv,Valencia CF,Rayo Vallecano,A,True
2012-13,2012-12-16,Zaragoza,Levante,0,1,A,2012-13_SP1.csv,Real Zaragoza,Levante UD,A,True
2012-13,2012-12-17,Celta,Betis,0,1,A,2012-13_SP1.csv,RC Celta de Vigo,Real Betis Balompié,A,True
2012-13,2012-12-17,La Coruna,Valladolid,0,0,D,2012-13_SP1.csv,Deportivo La Coruña,Real Valladolid CF,D,True
2012-13,2012-12-20,Espanol,La Coruna,2,0,H,2012-13_SP1.csv,RCD Espanyol,Deportivo La Coruña,H,True
2012-13,2012-12-20,Sociedad,Sevilla,2,1,H,2012-13_SP1.csv,Real Sociedad,Sevilla FC,H,True
2012-13,2012-12-20,Vallecano,Levante,3,0,H,2012-13_SP1.csv,Rayo Vallecano,Levante UD,H,True
2012-13,2012-12-21,Ath Madrid,Celta,1,0,H,2012-13_SP1.csv,Club Atlético de Madrid,RC Celta de Vigo,H,True
2012-13,2012-12-21,Valencia,Getafe,4,2,H,2012-13_SP1.csv,Valencia CF,Getafe CF,H,True
2012-13,2012-12-22,Ath Bilbao,Zaragoza,0,2,A,2012-13_SP1.csv,Athletic Bilbao,Real Zaragoza,A,True
2012-13,2012-12-22,Betis,Mallorca,1,2,A,2012-13_SP1.csv,Real Betis Balompié,RCD Mallorca,A,True
2012-13,2012-12-22,Malaga,Real Madrid,3,2,H,2012-13_SP1.csv,Málaga CF,Real Madrid CF,H,True
2012-13,2012-12-22,Osasuna,Granada,1,2,A,2012-13_SP1.csv,CA Osasuna,Granada CF,A,True
2012-13,2012-12-22,Valladolid,Barcelona,1,3,A,2012-13_SP1.csv,Real Valladolid CF,FC Barcelona,A,True
2012-13,2013-01-04,Zaragoza,Betis,1,2,A,2012-13_SP1.csv,Real Zaragoza,Real Betis Balompié,A,True
2012-13,2013-01-05,Granada,Valencia,1,2,A,2012-13_SP1.csv,Granada CF,Valencia CF,A,True
2012-13,2013-01-05,La Coruna,Malaga,1,0,H,2012-13_SP1.csv,Deportivo La Coruña,Málaga CF,H,True
2012-13,2013-01-05,Levante,Ath Bilbao,3,1,H,2012-13_SP1.csv,Levante UD,Athletic Bilbao,H,True
2012-13,2013-01-05,Sevilla,Osasuna,1,0,H,2012-13_SP1.csv,Sevilla FC,CA Osasuna,H,True
2012-13,2013-01-06,Barcelona,Espanol,4,0,H,2012-13_SP1.csv,FC Barcelona,RCD Espanyol,H,True
2012-13,2013-01-06,Celta,Valladolid,3,1,H,2012-13_SP1.csv,RC Celta de Vigo,Real Valladolid CF,H,True
2012-13,2013-01-06,Mallorca,Ath Madrid,1,1,D,2012-13_SP1.csv,RCD Mallorca,Club Atlético de Madrid,D,True
2012-13,2013-01-06,Real Madrid,Sociedad,4,3,H,2012-13_SP1.csv,Real Madrid CF,Real Sociedad,H,True
2012-13,2013-01-07,Vallecano,Getafe,3,1,H,2012-13_SP1.csv,Rayo Vallecano,Getafe CF,H,True
2012-13,2013-01-11,Ath Bilbao,Vallecano,1,2,A,2012-13_SP1.csv,Athletic Bilbao,Rayo Vallecano,A,True
2012-13,2013-01-12,Espanol,Celta,1,0,H,2012-13_SP1.csv,RCD Espanyol,RC Celta de Vigo,H,True
2012-13,2013-01-12,Osasuna,Real Madrid,0,0,D,2012-13_SP1.csv,CA Osasuna,Real Madrid CF,D,True
2012-13,2013-01-12,Valencia,Sevilla,2,0,H,2012-13_SP1.csv,Valencia CF,Sevilla FC,H,True
2012-13,2013-01-12,Valladolid,Mallorca,3,1,H,2012-13_SP1.csv,Real Valladolid CF,RCD Mallorca,H,True
2012-13,2013-01-13,Ath Madrid,Zaragoza,2,0,H,2012-13_SP1.csv,Club Atlético de Madrid,Real Zaragoza,H,True
2012-13,2013-01-13,Betis,Levante,2,0,H,2012-13_SP1.csv,Real Betis Balompié,Levante UD,H,True
2012-13,2013-01-13,Malaga,Barcelona,1,3,A,2012-13_SP1.csv,Málaga CF,FC Barcelona,A,True
2012-13,2013-01-13,Sociedad,La Coruna,1,1,D,2012-13_SP1.csv,Real Sociedad,Deportivo La Coruña,D,True
2012-13,2013-01-14,Getafe,Granada,2,2,D,2012-13_SP1.csv,Getafe CF,Granada CF,D,True
2012-13,2013-01-18,Espanol,Mallorca,3,2,H,2012-13_SP1.csv,RCD Espanyol,RCD Mallorca,H,True
2012-13,2013-01-19,Getafe,Sevilla,1,1,D,2012-13_SP1.csv,Getafe CF,Sevilla FC,D,True
2012-13,2013-01-19,Granada,Vallecano,2,0,H,2012-13_SP1.csv,Granada CF,Rayo Vallecano,H,True
2012-13,2013-01-19,Malaga,Celta,1,1,D,2012-13_SP1.csv,Málaga CF,RC Celta de Vigo,D,True
2012-13,2013-01-19,Sociedad,Barcelona,3,2,H,2012-13_SP1.csv,Real Sociedad,FC Barcelona,H,True
2012-13,2013-01-20,Ath Madrid,Levante,2,0,H,2012-13_SP1.csv,Club Atlético de Madrid,Levante UD,H,True
2012-13,2013-01-20,Osasuna,La Coruna,2,1,H,2012-13_SP1.csv,CA Osasuna,Deportivo La Coruña,H,True
2012-13,2013-01-20,Valencia,Real Madrid,0,5,A,2012-13_SP1.csv,Valencia CF,Real Madrid CF,A,True
2012-13,2013-01-20,Valladolid,Zaragoza,2,0,H,2012-13_SP1.csv,Real Valladolid CF,Real Zaragoza,H,True
2012-13,2013-01-21,Betis,Ath Bilbao,1,1,D,2012-13_SP1.csv,Real Betis Balompié,Athletic Bilbao,D,True
2012-13,2013-01-26,Celta,Sociedad,1,1,D,2012-13_SP1.csv,RC Celta de Vigo,Real Sociedad,D,True
2012-13,2013-01-26,La Coruna,Valencia,2,3,A,2012-13_SP1.csv,Deportivo La Coruña,Valencia CF,A,True
2012-13,2013-01-26,Levante,Valladolid,2,1,H,2012-13_SP1.csv,Levante UD,Real Valladolid CF,H,True
2012-13,2013-01-26,Zaragoza,Espanol,0,0,D,2012-13_SP1.csv,Real Zaragoza,RCD Espanyol,D,True
2012-13,2013-01-27,Ath Bilbao,Ath Madrid,3,0,H,2012-13_SP1.csv,Athletic Bilbao,Club Atlético de Madrid,H,True
2012-13,2013-01-27,Barcelona,Osasuna,5,1,H,2012-13_SP1.csv,FC Barcelona,CA Osasuna,H,True
2012-13,2013-01-27,Mallorca,Malaga,2,3,A,2012-13_SP1.csv,RCD Mallorca,Málaga CF,A,True
2012-13,2013-01-27,Real Madrid,Getafe,4,0,H,2012-13_SP1.csv,Real Madrid CF,Getafe CF,H,True
2012-13,2013-01-27,Vallecano,Betis,3,0,H,2012-13_SP1.csv,Rayo Vallecano,Real Betis Balompié,H,True
2012-13,2013-01-28,Sevilla,Granada,3,0,H,2012-13_SP1.csv,Sevilla FC,Granada CF,H,True
2012-13,2013-02-01,Valladolid,Ath Bilbao,2,2,D,2012-13_SP1.csv,Real Valladolid CF,Athletic Bilbao,D,True
2012-13,2013-02-02,Espanol,Levante,3,2,H,2012-13_SP1.csv,RCD Espanyol,Levante UD,H,True
2012-13,2013-02-02,Getafe,La Coruna,3,1,H,2012-13_SP1.csv,Getafe CF,Deportivo La Coruña,H,True
2012-13,2013-02-02,Granada,Real Madrid,1,0,H,2012-13_SP1.csv,Granada CF,Real Madrid CF,H,True
2012-13,2013-02-02,Osasuna,Celta,1,0,H,2012-13_SP1.csv,CA Osasuna,RC Celta de Vigo,H,True
2012-13,2013-02-03,Ath Madrid,Betis,1,0,H,2012-13_SP1.csv,Club Atlético de Madrid,Real Betis Balompié,H,True
2012-13,2013-02-03,Malaga,Zaragoza,1,1,D,2012-13_SP1.csv,Málaga CF,Real Zaragoza,D,True
2012-13,2013-02-03,Sevilla,Vallecano,2,1,H,2012-13_SP1.csv,Sevilla FC,Rayo Vallecano,H,True
2012-13,2013-02-03,Sociedad,Mallorca,3,0,H,2012-13_SP1.csv,Real Sociedad,RCD Mallorca,H,True
2012-13,2013-02-03,Valencia,Barcelona,1,1,D,2012-13_SP1.csv,Valencia CF,FC Barcelona,D,True
2012-13,2013-02-09,Celta,Valencia,0,1,A,2012-13_SP1.csv,RC Celta de Vigo,Valencia CF,A,True
2012-13,2013-02-09,La Coruna,Granada,0,3,A,2012-13_SP1.csv,Deportivo La Coruña,Granada CF,A,True
2012-13,2013-02-09,Levante,Malaga,1,2,A,2012-13_SP1.csv,Levante UD,Málaga CF,A,True
2012-13,2013-02-09,Mallorca,Osasuna,1,1,D,2012-13_SP1.csv,RCD Mallorca,CA Osasuna,D,True
2012-13,2013-02-09,Real Madrid,Sevilla,4,1,H,2012-13_SP1.csv,Real Madrid CF,Sevilla FC,H,True
2012-13,2013-02-10,Ath Bilbao,Espanol,0,4,A,2012-13_SP1.csv,Athletic Bilbao,RCD Espanyol,A,True
2012-13,2013-02-10,Barcelona,Getafe,6,1,H,2012-13_SP1.csv,FC Barcelona,Getafe CF,H,True
2012-13,2013-02-10,Vallecano,Ath Madrid,2,1,H,2012-13_SP1.csv,Rayo Vallecano,Club Atlético de Madrid,H,True
2012-13,2013-02-10,Zaragoza,Sociedad,1,2,A,2012-13_SP1.csv,Real Zaragoza,Real Sociedad,A,True
2012-13,2013-02-11,Betis,Valladolid,0,0,D,2012-13_SP1.csv,Real Betis Balompié,Real Valladolid CF,D,True
2012-13,2013-02-15,Sevilla,La Coruna,3,1,H,2012-13_SP1.csv,Sevilla FC,Deportivo La Coruña,H,True
2012-13,2013-02-16,Getafe,Celta,3,1,H,2012-13_SP1.csv,Getafe CF,RC Celta de Vigo,H,True
2012-13,2013-02-16,Granada,Barcelona,1,2,A,2012-13_SP1.csv,Granada CF,FC Barcelona,A,True
2012-13,2013-02-16,Malaga,Ath Bilbao,1,0,H,2012-13_SP1.csv,Málaga CF,Athletic Bilbao,H,True
2012-13,2013-02-16,Osasuna,Zaragoza,1,0,H,2012-13_SP1.csv,CA Osasuna,Real Zaragoza,H,True
2012-13,2013-02-17,Espanol,Betis,1,0,H,2012-13_SP1.csv,RCD Espanyol,Real Betis Balompié,H,True
2012-13,2013-02-17,Real Madrid,Vallecano,2,0,H,2012-13_SP1.csv,Real Madrid CF,Rayo Vallecano,H,True
2012-13,2013-02-17,Sociedad,Levante,1,1,D,2012-13_SP1.csv,Real Sociedad,Levante UD,D,True
2012-13,2013-02-17,Valencia,Mallorca,2,0,H,2012-13_SP1.csv,Valencia CF,RCD Mallorca,H,True
2012-13,2013-02-17,Valladolid,Ath Madrid,0,3,A,2012-13_SP1.csv,Real Valladolid CF,Club Atlético de Madrid,A,True
2012-13,2013-02-22,Ath Bilbao,Sociedad,1,3,A,2012-13_SP1.csv,Athletic Bilbao,Real Sociedad,A,True
2012-13,2013-02-23,Barcelona,Sevilla,2,1,H,2012-13_SP1.csv,FC Barcelona,Sevilla FC,H,True
2012-13,2013-02-23,La Coruna,Real Madrid,1,2,A,2012-13_SP1.csv,Deportivo La Coruña,Real Madrid CF,A,True
2012-13,2013-02-23,Mallorca,Getafe,1,3,A,2012-13_SP1.csv,RCD Mallorca,Getafe CF,A,True
2012-13,2013-02-23,Zaragoza,Valencia,2,2,D,2012-13_SP1.csv,Real Zaragoza,Valencia CF,D,True
2012-13,2013-02-24,Ath Madrid,Espanol,1,0,H,2012-13_SP1.csv,Club Atlético de Madrid,RCD Espanyol,H,True
2012-13,2013-02-24,Betis,Malaga,3,0,H,2012-13_SP1.csv,Real Betis Balompié,Málaga CF,H,True
2012-13,2013-02-24,Celta,Granada,2,1,H,2012-13_SP1.csv,RC Celta de Vigo,Granada CF,H,True
2012-13,2013-02-24,Vallecano,Valladolid,1,2,A,2012-13_SP1.csv,Rayo Vallecano,Real Valladolid CF,A,True
2012-13,2013-02-25,Levante,Osasuna,0,2,A,2012-13_SP1.csv,Levante UD,CA Osasuna,A,True
2012-13,2013-03-01,Getafe,Zaragoza,2,0,H,2012-13_SP1.csv,Getafe CF,Real Zaragoza,H,True
2012-13,2013-03-02,La Coruna,Vallecano,0,0,D,2012-13_SP1.csv,Deportivo La Coruña,Rayo Vallecano,D,True
2012-13,2013-03-02,Osasuna,Ath Bilbao,0,1,A,2012-13_SP1.csv,CA Osasuna,Athletic Bilbao,A,True
2012-13,2013-03-02,Real Madrid,Barcelona,2,1,H,2012-13_SP1.csv,Real Madrid CF,FC Barcelona,H,True
2012-13,2013-03-02,Valencia,Levante,2,2,D,2012-13_SP1.csv,Valencia CF,Levante UD,D,True
2012-13,2013-03-03,Espanol,Valladolid,0,0,D,2012-13_SP1.csv,RCD Espanyol,Real Valladolid CF,D,True
2012-13,2013-03-03,Granada,Mallorca,1,2,A,2012-13_SP1.csv,Granada CF,RCD Mallorca,A,True
2012-13,2013-03-03,Malaga,Ath Madrid,0,0,D,2012-13_SP1.csv,Málaga CF,Club Atlético de Madrid,D,True
2012-13,2013-03-03,Sociedad,Betis,3,3,D,2012-13_SP1.csv,Real Sociedad,Real Betis Balompié,D,True
2012-13,2013-03-04,Sevilla,Celta,4,1,H,2012-13_SP1.csv,Sevilla FC,RC Celta de Vigo,H,True
2012-13,2013-03-08,Betis,Osasuna,2,1,H,2012-13_SP1.csv,Real Betis Balompié,CA Osasuna,H,True
2012-13,2013-03-09,Barcelona,La Coruna,2,0,H,2012-13_SP1.csv,FC Barcelona,Deportivo La Coruña,H,True
2012-13,2013-03-09,Mallorca,Sevilla,2,1,H,2012-13_SP1.csv,RCD Mallorca,Sevilla FC,H,True
2012-13,2013-03-09,Valladolid,Malaga,1,1,D,2012-13_SP1.csv,Real Valladolid CF,Málaga CF,D,True
2012-13,2013-03-09,Vallecano,Espanol,2,0,H,2012-13_SP1.csv,Rayo Vallecano,RCD Espanyol,H,True
2012-13,2013-03-10,Ath Bilbao,Valencia,1,0,H,2012-13_SP1.csv,Athletic Bilbao,Valencia CF,H,True
2012-13,2013-03-10,Ath Madrid,Sociedad,0,1,A,2012-13_SP1.csv,Club Atlético de Madrid,Real Sociedad,A,True
2012-13,2013-03-10,Celta,Real Madrid,1,2,A,2012-13_SP1.csv,RC Celta de Vigo,Real Madrid CF,A,True
2012-13,2013-03-10,Levante,Getafe,0,0,D,2012-13_SP1.csv,Levante UD,Getafe CF,D,True
2012-13,2013-03-11,Zaragoza,Granada,0,0,D,2012-13_SP1.csv,Real Zaragoza,Granada CF,D,True
2012-13,2013-03-15,La Coruna,Celta,3,1,H,2012-13_SP1.csv,Deportivo La Coruña,RC Celta de Vigo,H,True
2012-13,2013-03-16,Getafe,Ath Bilbao,1,0,H,2012-13_SP1.csv,Getafe CF,Athletic Bilbao,H,True
2012-13,2013-03-16,Real Madrid,Mallorca,5,2,H,2012-13_SP1.csv,Real Madrid CF,RCD Mallorca,H,True
2012-13,2013-03-16,Sociedad,Valladolid,4,1,H,2012-13_SP1.csv,Real Sociedad,Real Valladolid CF,H,True
2012-13,2013-03-16,Valencia,Betis,3,0,H,2012-13_SP1.csv,Valencia CF,Real Betis Balompié,H,True
2012-13,2013-03-17,Barcelona,Vallecano,3,1,H,2012-13_SP1.csv,FC Barcelona,Rayo Vallecano,H,True
2012-13,2013-03-17,Granada,Levante,1,1,D,2012-13_SP1.csv,Granada CF,Levante UD,D,True
2012-13,2013-03-17,Malaga,Espanol,0,2,A,2012-13_SP1.csv,Málaga CF,RCD Espanyol,A,True
2012-13,2013-03-17,Osasuna,Ath Madrid,0,2,A,2012-13_SP1.csv,CA Osasuna,Club Atlético de Madrid,A,True
2012-13,2013-03-17,Sevilla,Zaragoza,4,0,H,2012-13_SP1.csv,Sevilla FC,Real Zaragoza,H,True
2012-13,2013-03-30,Celta,Barcelona,2,2,D,2012-13_SP1.csv,RC Celta de Vigo,FC Barcelona,D,True
2012-13,2013-03-30,Levante,Sevilla,1,0,H,2012-13_SP1.csv,Levante UD,Sevilla FC,H,True
2012-13,2013-03-30,Vallecano,Malaga,1,3,A,2012-13_SP1.csv,Rayo Vallecano,Málaga CF,A,True
2012-13,2013-03-30,Zaragoza,Real Madrid,1,1,D,2012-13_SP1.csv,Real Zaragoza,Real Madrid CF,D,True
2012-13,2013-03-31,Ath Madrid,Valencia,1,1,D,2012-13_SP1.csv,Club Atlético de Madrid,Valencia CF,D,True
2012-13,2013-03-31,Espanol,Sociedad,2,2,D,2012-13_SP1.csv,RCD Espanyol,Real Sociedad,D,True
2012-13,2013-03-31,Mallorca,La Coruna,2,3,A,2012-13_SP1.csv,RCD Mallorca,Deportivo La Coruña,A,True
2012-13,2013-03-31,Valladolid,Osasuna,1,3,A,2012-13_SP1.csv,Real Valladolid CF,CA Osasuna,A,True
2012-13,2013-04-01,Ath Bilbao,Granada,1,0,H,2012-13_SP1.csv,Athletic Bilbao,Granada CF,H,True
2012-13,2013-04-01,Betis,Getafe,0,0,D,2012-13_SP1.csv,Real Betis Balompié,Getafe CF,D,True
2012-13,2013-04-05,Granada,Betis,1,5,A,2012-13_SP1.csv,Granada CF,Real Betis Balompié,A,True
2012-13,2013-04-06,Barcelona,Mallorca,5,0,H,2012-13_SP1.csv,FC Barcelona,RCD Mallorca,H,True
2012-13,2013-04-06,La Coruna,Zaragoza,3,2,H,2012-13_SP1.csv,Deportivo La Coruña,Real Zaragoza,H,True
2012-13,2013-04-06,Real Madrid,Levante,5,1,H,2012-13_SP1.csv,Real Madrid CF,Levante UD,H,True
2012-13,2013-04-06,Sociedad,Malaga,4,2,H,2012-13_SP1.csv,Real Sociedad,Málaga CF,H,True
2012-13,2013-04-07,Celta,Vallecano,0,2,A,2012-13_SP1.csv,RC Celta de Vigo,Rayo Vallecano,A,True
2012-13,2013-04-07,Getafe,Ath Madrid,0,0,D,2012-13_SP1.csv,Getafe CF,Club Atlético de Madrid,D,True
2012-13,2013-04-07,Osasuna,Espanol,0,2,A,2012-13_SP1.csv,CA Osasuna,RCD Espanyol,A,True
2012-13,2013-04-07,Valencia,Valladolid,2,1,H,2012-13_SP1.csv,Valencia CF,Real Valladolid CF,H,True
2012-13,2013-04-08,Sevilla,Ath Bilbao,2,1,H,2012-13_SP1.csv,Sevilla FC,Athletic Bilbao,H,True
2012-13,2013-04-12,Betis,Sevilla,3,3,D,2012-13_SP1.csv,Real Betis Balompié,Sevilla FC,D,True
2012-13,2013-04-13,Espanol,Valencia,3,3,D,2012-13_SP1.csv,RCD Espanyol,Valencia CF,D,True
2012-13,2013-04-13,Levante,La Coruna,0,4,A,2012-13_SP1.csv,Levante UD,Deportivo La Coruña,A,True
2012-13,2013-04-13,Malaga,Osasuna,1,0,H,2012-13_SP1.csv,Málaga CF,CA Osasuna,H,True
2012-13,2013-04-13,Valladolid,Getafe,2,1,H,2012-13_SP1.csv,Real Valladolid CF,Getafe CF,H,True
2012-13,2013-04-14,Ath Bilbao,Real Madrid,0,3,A,2012-13_SP1.csv,Athletic Bilbao,Real Madrid CF,A,True
2012-13,2013-04-14,Ath Madrid,Granada,5,0,H,2012-13_SP1.csv,Club Atlético de Madrid,Granada CF,H,True
2012-13,2013-04-14,Vallecano,Sociedad,0,2,A,2012-13_SP1.csv,Rayo Vallecano,Real Sociedad,A,True
2012-13,2013-04-14,Zaragoza,Barcelona,0,3,A,2012-13_SP1.csv,Real Zaragoza,FC Barcelona,A,True
2012-13,2013-04-15,Mallorca,Celta,1,0,H,2012-13_SP1.csv,RCD Mallorca,RC Celta de Vigo,H,True
2012-13,2013-04-19,Mallorca,Vallecano,1,1,D,2012-13_SP1.csv,RCD Mallorca,Rayo Vallecano,D,True
2012-13,2013-04-20,Barcelona,Levante,1,0,H,2012-13_SP1.csv,FC Barcelona,Levante UD,H,True
2012-13,2013-04-20,Granada,Valladolid,1,1,D,2012-13_SP1.csv,Granada CF,Real Valladolid CF,D,True
2012-13,2013-04-20,Real Madrid,Betis,3,1,H,2012-13_SP1.csv,Real Madrid CF,Real Betis Balompié,H,True
2012-13,2013-04-20,Valencia,Malaga,5,1,H,2012-13_SP1.csv,Valencia CF,Málaga CF,H,True
2012-13,2013-04-21,Getafe,Espanol,0,2,A,2012-13_SP1.csv,Getafe CF,RCD Espanyol,A,True
2012-13,2013-04-21,La Coruna,Ath Bilbao,1,1,D,2012-13_SP1.csv,Deportivo La Coruña,Athletic Bilbao,D,True
2012-13,2013-04-21,Osasuna,Sociedad,0,0,D,2012-13_SP1.csv,CA Osasuna,Real Sociedad,D,True
2012-13,2013-04-21,Sevilla,Ath Madrid,0,1,A,2012-13_SP1.csv,Sevilla FC,Club Atlético de Madrid,A,True
2012-13,2013-04-22,Celta,Zaragoza,2,1,H,2012-13_SP1.csv,RC Celta de Vigo,Real Zaragoza,H,True
2012-13,2013-04-26,Vallecano,Osasuna,2,2,D,2012-13_SP1.csv,Rayo Vallecano,CA Osasuna,D,True
2012-13,2013-04-27,Ath Bilbao,Barcelona,2,2,D,2012-13_SP1.csv,Athletic Bilbao,FC Barcelona,D,True
2012-13,2013-04-27,Ath Madrid,Real Madrid,1,2,A,2012-13_SP1.csv,Club Atlético de Madrid,Real Madrid CF,A,True
2012-13,2013-04-27,Levante,Celta,0,1,A,2012-13_SP1.csv,Levante UD,RC Celta de Vigo,A,True
2012-13,2013-04-27,Zaragoza,Mallorca,3,2,H,2012-13_SP1.csv,Real Zaragoza,RCD Mallorca,H,True
2012-13,2013-04-28,Espanol,Granada,0,1,A,2012-13_SP1.csv,RCD Espanyol,Granada CF,A,True
2012-13,2013-04-28,Malaga,Getafe,2,1,H,2012-13_SP1.csv,Málaga CF,Getafe CF,H,True
2012-13,2013-04-28,Sociedad,Valencia,4,2,H,2012-13_SP1.csv,Real Sociedad,Valencia CF,H,True
2012-13,2013-04-28,Valladolid,Sevilla,1,1,D,2012-13_SP1.csv,Real Valladolid CF,Sevilla FC,D,True
2012-13,2013-04-29,Betis,La Coruna,1,1,D,2012-13_SP1.csv,Real Betis Balompié,Deportivo La Coruña,D,True
2012-13,2013-05-03,Celta,Ath Bilbao,1,1,D,2012-13_SP1.csv,RC Celta de Vigo,Athletic Bilbao,D,True
2012-13,2013-05-04,Granada,Malaga,1,0,H,2012-13_SP1.csv,Granada CF,Málaga CF,H,True
2012-13,2013-05-04,La Coruna,Ath Madrid,0,0,D,2012-13_SP1.csv,Deportivo La Coruña,Club Atlético de Madrid,D,True
2012-13,2013-05-04,Real Madrid,Valladolid,4,3,H,2012-13_SP1.csv,Real Madrid CF,Real Valladolid CF,H,True
2012-13,2013-05-04,Valencia,Osasuna,4,0,H,2012-13_SP1.csv,Valencia CF,CA Osasuna,H,True
2012-13,2013-05-05,Barcelona,Betis,4,2,H,2012-13_SP1.csv,FC Barcelona,Real Betis Balompié,H,True
2012-13,2013-05-05,Mallorca,Levante,1,1,D,2012-13_SP1.csv,RCD Mallorca,Levante UD,D,True
2012-13,2013-05-05,Sevilla,Espanol,3,0,H,2012-13_SP1.csv,Sevilla FC,RCD Espanyol,H,True
2012-13,2013-05-05,Zaragoza,Vallecano,3,0,H,2012-13_SP1.csv,Real Zaragoza,Rayo Vallecano,H,True
2012-13,2013-05-06,Getafe,Sociedad,2,1,H,2012-13_SP1.csv,Getafe CF,Real Sociedad,H,True
2012-13,2013-05-08,Celta,Ath Madrid,1,3,A,2012-13_SP1.csv,RC Celta de Vigo,Club Atlético de Madrid,A,True
2012-13,2013-05-08,Real Madrid,Malaga,6,2,H,2012-13_SP1.csv,Real Madrid CF,Málaga CF,H,True
2012-13,2013-05-10,Levante,Zaragoza,0,0,D,2012-13_SP1.csv,Levante UD,Real Zaragoza,D,True
2012-13,2013-05-11,Ath Bilbao,Mallorca,2,1,H,2012-13_SP1.csv,Athletic Bilbao,RCD Mallorca,H,True
2012-13,2013-05-11,Espanol,Real Madrid,1,1,D,2012-13_SP1.csv,RCD Espanyol,Real Madrid CF,D,True
2012-13,2013-05-11,Osasuna,Getafe,1,0,H,2012-13_SP1.csv,CA Osasuna,Getafe CF,H,True
2012-13,2013-05-11,Valladolid,La Coruna,1,0,H,2012-13_SP1.csv,Real Valladolid CF,Deportivo La Coruña,H,True
2012-13,2013-05-12,Ath Madrid,Barcelona,1,2,A,2012-13_SP1.csv,Club Atlético de Madrid,FC Barcelona,A,True
