season,date,home_team,away_team,home_goals,away_goals,result,source_file,home_team_official,away_team_official,expected_result,result_is_valid
2010-11,2010-10-02,Sociedad,Espanol,1,0,H,2010-11_SP1.csv,Real Sociedad,RCD Espanyol,H,True
2010-11,2010-10-02,Valencia,Ath Bilbao,2,1,H,2010-11_SP1.csv,Valencia CF,Athletic Bilbao,H,True
2010-11,2010-10-02,Zaragoza,Sp Gijon,2,2,D,2010-11_SP1.csv,Real Zaragoza,Sporting Gijón,D,True
2010-11,2010-10-03,Almeria,Malaga,1,1,D,2010-11_SP1.csv,UD Almería,Málaga CF,D,True
2010-11,2010-10-03,Barcelona,Mallorca,1,1,D,2010-11_SP1.csv,FC Barcelona,RCD Mallorca,D,True
2010-11,2010-10-03,Getafe,Hercules,3,0,H,2010-11_SP1.csv,Getafe CF,Hércules CF,H,True
2010-11,2010-10-03,Osasuna,Levante,1,1,D,2010-11_SP1.csv,CA Osasuna,Levante UD,D,True
2010-11,2010-10-03,Real Madrid,La Coruna,6,1,H,2010-11_SP1.csv,Real Madrid CF,Deportivo La Coruña,H,True
2010-11,2010-10-03,Sevilla,Ath Madrid,3,1,H,2010-11_SP1.csv,Sevilla FC,Club Atlético de Madrid,H,True
2010-11,2010-10-03,Villarreal,Santander,2,0,H,2010-11_SP1.csv,Villarreal CF,Racing Santander,H,True
2010-11,2010-10-16,Ath Madrid,Getafe,2,0,H,2010-11_SP1.csv,Club Atlético de Madrid,Getafe CF,H,True
2010-11,2010-10-16,Barcelona,Valencia,2,1,H,2010-11_SP1.csv,FC Barcelona,Valencia CF,H,True
2010-11,2010-10-16,Malaga,Real Madrid,1,4,A,2010-11_SP1.csv,Málaga CF,Real Madrid CF,A,True
2010-11,2010-10-17,Ath Bilbao,Zaragoza,2,1,H,2010-11_SP1.csv,Athletic Bilbao,Real Zaragoza,H,True
2010-11,2010-10-17,La Coruna,Osasuna,0,0,D,2010-11_SP1.csv,Deportivo La Coruña,CA Osasuna,D,True
2010-11,2010-10-17,Levante,Sociedad,2,1,H,2010-11_SP1.csv,Levante UD,Real Sociedad,H,True
2010-11,2010-10-17,Mallorca,Espanol,0,1,A,2010-11_SP1.csv,RCD Mallorca,RCD Espanyol,A,True
2010-11,2010-10-17,Santander,Almeria,1,0,H,2010-11_SP1.csv,Racing Santander,UD Almería,H,True
2010-11,2010-10-17,Sp Gijon,Sevilla,2,0,H,2010-11_SP1.csv,Sporting Gijón,Sevilla FC,H,True
2010-11,2010-10-18,Hercules,Villarreal,2,2,D,2010-11_SP1.csv,Hércules CF,Villarreal CF,D,True
2010-11,2010-10-23,Real Madrid,Santander,6,1,H,2010-11_SP1.csv,Real Madrid CF,Racing Santander,H,True
2010-11,2010-10-23,Valencia,Mallorca,1,2,A,2010-11_SP1.csv,Valencia CF,RCD Mallorca,A,True
2010-11,2010-10-23,Zaragoza,Barcelona,0,2,A,2010-11_SP1.csv,Real Zaragoza,FC Barcelona,A,True
2010-11,2010-10-24,Almeria,Hercules,1,1,D,2010-11_SP1.csv,UD Almería,Hércules CF,D,True
2010-11,2010-10-24,Espanol,Levante,2,1,H,2010-11_SP1.csv,RCD Espanyol,Levante UD,H,True
2010-11,2010-10-24,Getafe,Sp Gijon,3,0,H,2010-11_SP1.csv,Getafe CF,Sporting Gijón,H,True
2010-11,2010-10-24,Osasuna,Malaga,3,0,H,2010-11_SP1.csv,CA Osasuna,Málaga CF,H,True
2010-11,2010-10-24,Sevilla,Ath Bilbao,4,3,H,2010-11_SP1.csv,Sevilla FC,Athletic Bilbao,H,True
2010-11,2010-10-24,Villarreal,Ath Madrid,2,0,H,2010-11_SP1.csv,Villarreal CF,Club Atlético de Madrid,H,True
2010-11,2010-10-25,Sociedad,La Coruna,3,0,H,2010-11_SP1.csv,Real Sociedad,Deportivo La Coruña,H,True
2010-11,2010-10-30,Barcelona,Sevilla,5,0,H,2010-11_SP1.csv,FC Barcelona,Sevilla FC,H,True
2010-11,2010-10-30,Hercules,Real Madrid,1,3,A,2010-11_SP1.csv,Hércules CF,Real Madrid CF,A,True
2010-11,2010-10-30,Valencia,Zaragoza,1,1,D,2010-11_SP1.csv,Valencia CF,Real Zaragoza,D,True
2010-11,2010-10-31,Ath Bilbao,Getafe,3,0,H,2010-11_SP1.csv,Athletic Bilbao,Getafe CF,H,True
2010-11,2010-10-31,Ath Madrid,Almeria,1,1,D,2010-11_SP1.csv,Club Atlético de Madrid,UD Almería,D,True
2010-11,2010-10-31,La Coruna,Espanol,3,0,H,2010-11_SP1.csv,Deportivo La Coruña,RCD Espanyol,H,True
2010-11,2010-10-31,Malaga,Sociedad,1,2,A,2010-11_SP1.csv,Málaga CF,Real Sociedad,A,True
2010-11,2010-10-31,Santander,Osasuna,4,1,H,2010-11_SP1.csv,Racing Santander,CA Osasuna,H,True
2010-11,2010-10-31,Sp Gijon,Villarreal,1,1,D,2010-11_SP1.csv,Sporting Gijón,Villarreal CF,D,True
2010-11,2010-11-01,Mallorca,Levante,2,1,H,2010-11_SP1.csv,RCD Mallorca,Levante UD,H,True
2010-11,2010-11-06,Espanol,Malaga,1,0,H,2010-11_SP1.csv,RCD Espanyol,Málaga CF,H,True
2010-11,2010-11-06,Sociedad,Santander,1,0,H,2010-11_SP1.csv,Real Sociedad,Racing Santander,H,True
2010-11,2010-11-07,Almeria,Sp Gijon,1,1,D,2010-11_SP1.csv,UD Almería,Sporting Gijón,D,True
2010-11,2010-11-07,Getafe,Barcelona,1,3,A,2010-11_SP1.csv,Getafe CF,FC Barcelona,A,True
2010-11,2010-11-07,Levante,La Coruna,1,2,A,2010-11_SP1.csv,Levante UD,Deportivo La Coruña,A,True
2010-11,2010-11-07,Osasuna,Hercules,3,0,H,2010-11_SP1.csv,CA Osasuna,Hércules CF,H,True
2010-11,2010-11-07,Real Madrid,Ath Madrid,2,0,H,2010-11_SP1.csv,Real Madrid CF,Club Atlético de Madrid,H,True
2010-11,2010-11-07,Villarreal,Ath Bilbao,4,1,H,2010-11_SP1.csv,Villarreal CF,Athletic Bilbao,H,True
2010-11,2010-11-07,Zaragoza,Mallorca,3,2,H,2010-11_SP1.csv,Real Zaragoza,RCD Mallorca,H,True
2010-11,2010-11-08,Sevilla,Valencia,2,0,H,2010-11_SP1.csv,Sevilla FC,Valencia CF,H,True
2010-11,2010-11-13,Ath Bilbao,Almeria,1,0,H,2010-11_SP1.csv,Athletic Bilbao,UD Almería,H,True
2010-11,2010-11-13,Ath Madrid,Osasuna,3,0,H,2010-11_SP1.csv,Club Atlético de Madrid,CA Osasuna,H,True
2010-11,2010-11-13,Barcelona,Villarreal,3,1,H,2010-11_SP1.csv,FC Barcelona,Villarreal CF,H,True
2010-11,2010-11-14,Hercules,Sociedad,2,1,H,2010-11_SP1.csv,Hércules CF,Real Sociedad,H,True
2010-11,2010-11-14,Malaga,Levante,1,0,H,2010-11_SP1.csv,Málaga CF,Levante UD,H,True
2010-11,2010-11-14,Mallorca,La Coruna,0,0,D,2010-11_SP1.csv,RCD Mallorca,Deportivo La Coruña,D,True
2010-11,2010-11-14,Santander,Espanol,0,0,D,2010-11_SP1.csv,Racing Santander,RCD Espanyol,D,True
2010-11,2010-11-14,Sp Gijon,Real Madrid,0,1,A,2010-11_SP1.csv,Sporting Gijón,Real Madrid CF,A,True
2010-11,2010-11-14,Valencia,Getafe,2,0,H,2010-11_SP1.csv,Valencia CF,Getafe CF,H,True
2010-11,2010-11-14,Zaragoza,Sevilla,1,2,A,2010-11_SP1.csv,Real Zaragoza,Sevilla FC,A,True
2010-11,2010-11-20,Almeria,Barcelona,0,8,A,2010-11_SP1.csv,UD Almería,FC Barcelona,A,True
2010-11,2010-11-20,Real Madrid,Ath Bilbao,5,1,H,2010-11_SP1.csv,Real Madrid CF,Athletic Bilbao,H,True
2010-11,2010-11-20,Villarreal,Valencia,1,1,D,2010-11_SP1.csv,Villarreal CF,Valencia CF,D,True
2010-11,2010-11-21,Espanol,Hercules,3,0,H,2010-11_SP1.csv,RCD Espanyol,Hércules CF,H,True
2010-11,2010-11-21,La Coruna,Malaga,3,0,H,2010-11_SP1.csv,Deportivo La Coruña,Málaga CF,H,True
2010-11,2010-11-21,Levante,Santander,3,1,H,2010-11_SP1.csv,Levante UD,Racing Santander,H,True
2010-11,2010-11-21,Osasuna,Sp Gijon,1,0,H,2010-11_SP1.csv,CA Osasuna,Sporting Gijón,H,True
2010-11,2010-11-21,Sevilla,Mallorca,1,2,A,2010-11_SP1.csv,Sevilla FC,RCD Mallorca,A,True
2010-11,2010-11-21,Sociedad,Ath Madrid,2,4,A,2010-11_SP1.csv,Real Sociedad,Club Atlético de Madrid,A,True
2010-11,2010-11-22,Getafe,Zaragoza,1,1,D,2010-11_SP1.csv,Getafe CF,Real Zaragoza,D,True
2010-11,2010-11-27,Ath Madrid,Espanol,2,3,A,2010-11_SP1.csv,Club Atlético de Madrid,RCD Espanyol,A,True
2010-11,2010-11-27,Sevilla,Getafe,1,3,A,2010-11_SP1.csv,Sevilla FC,Getafe CF,A,True
2010-11,2010-11-27,Zaragoza,Villarreal,0,3,A,2010-11_SP1.csv,Real Zaragoza,Villarreal CF,A,True
2010-11,2010-11-28,Ath Bilbao,Osasuna,1,0,H,2010-11_SP1.csv,Athletic Bilbao,CA Osasuna,H,True
2010-11,2010-11-28,Hercules,Levante,3,1,H,2010-11_SP1.csv,Hércules CF,Levante UD,H,True
2010-11,2010-11-28,Mallorca,Malaga,2,0,H,2010-11_SP1.csv,RCD Mallorca,Málaga CF,H,True
2010-11,2010-11-28,Santander,La Coruna,1,0,H,2010-11_SP1.csv,Racing Santander,Deportivo La Coruña,H,True
2010-11,2010-11-28,Sp Gijon,Sociedad,1,3,A,2010-11_SP1.csv,Sporting Gijón,Real Sociedad,A,True
2010-11,2010-11-28,Valencia,Almeria,2,1,H,2010-11_SP1.csv,Valencia CF,UD Almería,H,True
2010-11,2010-11-29,Barcelona,Real Madrid,5,0,H,2010-11_SP1.csv,FC Barcelona,Real Madrid CF,H,True
2010-11,2010-12-04,Levante,Ath Madrid,2,0,H,2010-11_SP1.csv,Levante UD,Club Atlético de Madrid,H,True
2010-11,2010-12-04,Osasuna,Barcelona,0,3,A,2010-11_SP1.csv,CA Osasuna,FC Barcelona,A,True
2010-11,2010-12-04,Real Madrid,Valencia,2,0,H,2010-11_SP1.csv,Real Madrid CF,Valencia CF,H,True
2010-11,2010-12-05,Almeria,Zaragoza,1,1,D,2010-11_SP1.csv,UD Almería,Real Zaragoza,D,True
2010-11,2010-12-05,Espanol,Sp Gijon,1,0,H,2010-11_SP1.csv,RCD Espanyol,Sporting Gijón,H,True
2010-11,2010-12-05,Getafe,Mallorca,3,0,H,2010-11_SP1.csv,Getafe CF,RCD Mallorca,H,True
2010-11,2010-12-05,Malaga,Santander,4,1,H,2010-11_SP1.csv,Málaga CF,Racing Santander,H,True
2010-11,2010-12-05,Sociedad,Ath Bilbao,2,0,H,2010-11_SP1.csv,Real Sociedad,Athletic Bilbao,H,True
2010-11,2010-12-05,Villarreal,Sevilla,1,0,H,2010-11_SP1.csv,Villarreal CF,Sevilla FC,H,True
2010-11,2010-12-06,La Coruna,Hercules,1,0,H,2010-11_SP1.csv,Deportivo La Coruña,Hércules CF,H,True
2010-11,2010-12-11,Ath Madrid,La Coruna,2,0,H,2010-11_SP1.csv,Club Atlético de Madrid,Deportivo La Coruña,H,True
2010-11,2010-12-11,Getafe,Villarreal,1,0,H,2010-11_SP1.csv,Getafe CF,Villarreal CF,H,True
2010-11,2010-12-11,Sevilla,Almeria,1,3,A,2010-11_SP1.csv,Sevilla FC,UD Almería,A,True
2010-11,2010-12-12,Ath Bilbao,Espanol,2,1,H,2010-11_SP1.csv,Athletic Bilbao,RCD Espanyol,H,True
2010-11,2010-12-12,Barcelona,Sociedad,5,0,H,2010-11_SP1.csv,FC Barcelona,Real Sociedad,H,True
2010-11,2010-12-12,Hercules,Malaga,4,1,H,2010-11_SP1.csv,Hércules CF,Málaga CF,H,True
2010-11,2010-12-12,Mallorca,Santander,0,1,A,2010-11_SP1.csv,RCD Mallorca,Racing Santander,A,True
2010-11,2010-12-12,Sp Gijon,Levante,1,1,D,2010-11_SP1.csv,Sporting Gijón,Levante UD,D,True
2010-11,2010-12-12,Zaragoza,Real Madrid,1,3,A,2010-11_SP1.csv,Real Zaragoza,Real Madrid CF,A,True
2010-11,2010-12-13,Valencia,Osasuna,3,3,D,2010-11_SP1.csv,Valencia CF,CA Osasuna,D,True
2010-11,2010-12-18,Espanol,Barcelona,1,5,A,2010-11_SP1.csv,RCD Espanyol,FC Barcelona,A,True
2010-11,2010-12-18,La Coruna,Sp Gijon,1,1,D,2010-11_SP1.csv,Deportivo La Coruña,Sporting Gijón,D,True
2010-11,2010-12-18,Levante,Ath Bilbao,1,2,A,2010-11_SP1.csv,Levante UD,Athletic Bilbao,A,True
2010-11,2010-12-18,Sociedad,Valencia,1,2,A,2010-11_SP1.csv,Real Sociedad,Valencia CF,A,True
2010-11,2010-12-18,Villarreal,Mallorca,3,1,H,2010-11_SP1.csv,Villarreal CF,RCD Mallorca,H,True
2010-11,2010-12-19,Almeria,Getafe,2,3,A,2010-11_SP1.csv,UD Almería,Getafe CF,A,True
2010-11,2010-12-19,Malaga,Ath Madrid,0,3,A,2010-11_SP1.csv,Málaga CF,Club Atlético de Madrid,A,True
2010-11,2010-12-19,Osasuna,Zaragoza,0,0,D,2010-11_SP1.csv,CA Osasuna,Real Zaragoza,D,True
2010-11,2010-12-19,Real Madrid,Sevilla,1,0,H,2010-11_SP1.csv,Real Madrid CF,Sevilla FC,H,True
2010-11,2010-12-20,Santander,Hercules,0,0,D,2010-11_SP1.csv,Racing Santander,Hércules CF,D,True
2010-11,2011-01-02,Ath Bilbao,La Coruna,1,2,A,2010-11_SP1.csv,Athletic Bilbao,Deportivo La Coruña,A,True
2010-11,2011-01-02,Barcelona,Levante,2,1,H,2010-11_SP1.csv,FC Barcelona,Levante UD,H,True
2010-11,2011-01-02,Sevilla,Osasuna,1,0,H,2010-11_SP1.csv,Sevilla FC,CA Osasuna,H,True
2010-11,2011-01-02,Sp Gijon,Malaga,1,2,A,2010-11_SP1.csv,Sporting Gijón,Málaga CF,A,True
2010-11,2011-01-02,Valencia,Espanol,2,1,H,2010-11_SP1.csv,Valencia CF,RCD Espanyol,H,True
2010-11,2011-01-03,Ath Madrid,Santander,0,0,D,2010-11_SP1.csv,Club Atlético de Madrid,Racing Santander,D,True
2010-11,2011-01-03,Getafe,Real Madrid,2,3,A,2010-11_SP1.csv,Getafe CF,Real Madrid CF,A,True
2010-11,2011-01-03,Mallorca,Hercules,3,0,H,2010-11_SP1.csv,RCD Mallorca,Hércules CF,H,True
2010-11,2011-01-03,Villarreal,Almeria,2,0,H,2010-11_SP1.csv,Villarreal CF,UD Almería,H,True
